model,learning_rate,best_epoch,best_val_accuracy,test_accuracy,test_macro_f1,parameters,flops,checkpoint
cnn,0.02,20,0.8605,0.8551,0.8545638761136167,93962,7458688,
separable_cnn,0.02,17,0.892,0.8873,0.8878449201519898,31338,2061632,checkpoints\part_a_separable_cnn.pt
